offerid,floor,furnitured,price,buildingtype,area,rooms,rent,address,latitude,longitude
923035977,2,True,1900,blok,31.0,1,600.0,"ul. Strzegomska, Wrocław",51.1142002,16.9783235
627286720,4,True,3990,apartamentowiec,43.0,2,900.0,"ul. Podwale 82, Wrocław",51.10815729999999,17.0426882
923032664,0,True,2400,blok,28.0,2,800.0,"ul. Obornicka 99, Wrocław",51.1428801,17.0259078
839551263,3,True,2350,kamienica,35.0,2,450.0,"osiedle Gaj, dzielnica Krzyki, Wrocław",51.07832089999999,17.0475492
923031448,0,True,3000,blok,73.0,4,950.0,"Wrocław, ul. Litewska, Psie Pole",51.1425862,17.1318243
923029063,0,True,2500,blok,48.0,2,800.0,"ul. Miłostowska, Psie Pole, Wrocław",51.1450377,17.1198708
693744773,4,True,2780,kamienica,37.0,2,400.0,"Plac Św. Macieja, Wrocław",51.1199029,17.035325
923026701,1,True,3100,apartamentowiec,45.0,2,600.0,"Wrocław, Brak informacji o dokładnym adresie",51.10929480000001,17.0386019
761013343,4,True,2200,apartamentowiec,33.0,1,500.0,"Wrocław, ul. Legnicka, Pixel House",51.1222593,16.9930529
923018443,3,True,2300,kamienica,40.0,1,600.0,"Wrocław, Kleczkowska 46",51.12681749999999,17.0284322
899548930,2,True,2500,blok,42.0,2,600.0,"ul. Bajana, Wrocław",51.1275146,16.962767
751193835,6,True,1900,blok,51.0,2,600.0,"ul. Szkocka, Wrocław",51.1091479,16.963323
923016775,6,True,2600,blok,36.0,1,600.0,"ul. Bajana 51, Wrocław",51.1275146,16.962767
923014090,1,True,2880,apartamentowiec,41.0,2,599.0,"ul. Benedykta Polaka 6, Wrocław",51.11144119999999,17.0542325
894931423,2,True,2400,kamienica,42.0,2,470.0,"Wrocław, Uniwersytecka",51.1130817,17.0345713
865612193,4,True,2200,kamienica,43.0,2,500.0,"RYNEK, Wrocław",51.1106992,17.0323662
801502874,0,True,2500,blok,36.0,2,450.0,"ul. Drabika, Wrocław",51.0586353,17.0527136
